net,length_um
net3,20.645
net1,19.54
net6,18.72
net2,18.18
net4,16.66
net5,15.62
net7,10.78
s[1],6.99
i[2],6.43
i[1],6.31
s[0],5.63
i[0],4.61
i[3],4.61
y,4.39
_0_,0.46
