net,length_um
net6,43.88
net9,40.66
net1,37.8
net3,35.3
net7,31.6
net5,30.86
net2,27.78
net4,26.6
net8,26.02
net13,25.74
net12,23.8
net11,23.78
net10,17.8
_03_,9.26
_08_,9.22
_07_,7.88
_09_,7.535
_01_,7.18
_04_,6.96
a[3],6.65
a[1],6.31
b[2],6.31
b[3],5.75
co,5.75
sum[1],5.75
a[2],5.63
b[1],5.63
sum[0],5.41
b[0],5.29
ins2.ins2.sum,5.28
_12_,5.26
ins4.ins2.sum,4.92
_02_,4.88
sum[2],4.73
sum[3],4.73
a[0],4.27
_00_,4.1
_05_,4.1
_11_,3.88
ins1.ins1.sum,2.96
ins3.ins2.sum,2.06
_06_,1.38
_10_,1.26
